chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\PieToolTipGenerator.java, PieToolTipGenerator.java, 54, 49, 0.9074074, 5, 0.1814814805984497
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardCategoryItemLabelGenerator.java, StandardCategoryItemLabelGenerator.java, 133, 86, 0.6466165, 23, 0.02811376191675663
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardCategorySeriesLabelGenerator.java, StandardCategorySeriesLabelGenerator.java, 144, 87, 0.6041667, 19, 0.03179824724793434
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardCategoryToolTipGenerator.java, StandardCategoryToolTipGenerator.java, 119, 76, 0.6386555, 17, 0.03756796941161156
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardCrosshairLabelGenerator.java, StandardCrosshairLabelGenerator.java, 137, 80, 0.5839416, 20, 0.029197078198194504
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardFlowLabelGenerator.java, StandardFlowLabelGenerator.java, 115, 68, 0.59130436, 13, 0.04548495262861252
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardPieSectionLabelGenerator.java, StandardPieSectionLabelGenerator.java, 230, 145, 0.6304348, 48, 0.013134058564901352
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardPieToolTipGenerator.java, StandardPieToolTipGenerator.java, 129, 92, 0.7131783, 23, 0.03100775182247162
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardXYItemLabelGenerator.java, StandardXYItemLabelGenerator.java, 173, 115, 0.6647399, 30, 0.022157996892929077
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardXYSeriesLabelGenerator.java, StandardXYSeriesLabelGenerator.java, 151, 93, 0.615894, 20, 0.030794700607657433
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardXYToolTipGenerator.java, StandardXYToolTipGenerator.java, 174, 115, 0.66091955, 30, 0.022030651569366455
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\StandardXYZToolTipGenerator.java, StandardXYZToolTipGenerator.java, 231, 122, 0.5281385, 39, 0.013542013242840767
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\SymbolicXYItemLabelGenerator.java, SymbolicXYItemLabelGenerator.java, 156, 87, 0.5576923, 19, 0.029352225363254547
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\XYItemLabelGenerator.java, XYItemLabelGenerator.java, 54, 49, 0.9074074, 3, 0.3024691343307495
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\XYSeriesLabelGenerator.java, XYSeriesLabelGenerator.java, 57, 52, 0.9122807, 3, 0.3040935695171356
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\XYToolTipGenerator.java, XYToolTipGenerator.java, 53, 48, 0.9056604, 3, 0.30188679695129395
